ID,PartNumber,Revision,Release
707,SPI-00947-014-SUN,02,1
708,SPI-00947-014,13,1
709,SPI-00947-017A-PTB,00,1
710,SPI-00947-017A,00,1
711,SPI-00947-018-PTB,07,50
712,SPI-00947-018Q1-PTB,00,1
713,SPI-00947-018,07,1
714,SPI-00947-024-PTB,07,50
715,SPI-00947-040-SUN,01,1
716,SPI-00947-042-SUN,01,1
717,SPI-00947-045,04,1
718,SPI-00947-046,04,1
719,SPI-00947-047,00,1
720,SPI-00947-052,00,50
721,SPI-00947-054TAB,01,1
722,SPI-00947-054TAB,01,2
723,SPI-00947-056,01,1
724,SPI-00947-057-PTB,03,1
725,SPI-00947-057-PTB,03,2
726,SPI-00947-057,03,1
727,SPI-00947-057,03,2
728,SPI-00947-058,02,2
729,SPI-00947-061-SUN,00,1
730,SPI-00947-065-PTB,02,1
731,SPI-00947-065,02,1
732,SPI-00992-015-SUN,06,1
733,SPI-00992-015,06,1
734,SPI-01153-005-SUN,02,1
735,SPI-01153-011-SUN,01,50
736,SPI-01153-011,01,1
737,SPI-01153-011,01,50
738,SPI-01153-012-SUN,00,1
739,SPI-01153-013,00,50
740,SPI-01153-014,01,1
741,SPI-01153-024 ,00,1
742,SPI-01153-025-PTB,00,2
743,SPI-01153-025-P,00,1
744,SPI-01153-025,00,2
745,SPI-01153-026,00,1
746,SPI-01153-028-PTB,00,1
747,SPI-01153-028-P,00,1
748,SPI-01153-028,00,1
749,SPI-01681-003-SUN,01,1
750,SPI-01681-007-PTB,04,50
751,SPI-01681-007-SUN,04,1
752,SPI-01681-007,04,1
753,SPI-01681-008-PTB,08,50
754,SPI-01681-008,08,1
755,SPI-01681-012-PTB,05,1
756,SPI-01681-012,05,1
757,SPI-01681-013-PTB,03,1
758,SPI-01681-013,03,1
759,SPI-01681-014-PTB,04,50
760,SPI-01681-014-SUN,04,51
761,SPI-01681-014-SUN,04,52
762,SPI-01681-014,04,2
763,SPI-01681-014,04,50
764,SPI-01681-014,04,51
765,SPI-01681-020-PTB,06,50
766,SPI-01681-020-PTB,06,51
767,SPI-01681-020-SUN,06,1
768,SPI-01681-020-SUN,06,2
769,SPI-01681-020,06,1
770,SPI-01681-020,06,2
771,SPI-01681-023-PTB,00,1
772,SPI-01900104 0281-UNF,02,1
773,SPI-01900104 0282-UNF,01,1
774,SPI-01900104 0283-UNF,01,1
775,SPI-01900104 0285GT,02,1
776,SPI-01900104 0285OT,02,1
777,SPI-01900104 0285WM,02,1
778,SPI-01900104 0288,02,1
779,SPI-01900216 0383,01,50
780,SPI-01900216 0603,02,2
781,SPI-01900216 0607,02,1
782,SPI-01900216 0608,01,1
783,SPI-01900216 0610,01,1
784,SPI-01900216 0616,00,1
785,SPI-01900216 0618,00,1
786,SPI-01900216 0619,02,1
787,SPI-01900216 0620,01,1
788,SPI-01900216 0621,00,1
789,SPI-01900216 0621,01,50
790,SPI-01900216 0623,03,1
791,SPI-01900216 0627,04,1
792,SPI-01900216 0627,05,1
793,SPI-01900216 0628,03,1
794,SPI-01900216 0629,02,51
795,SPI-01900216 0630,01,1
796,SPI-01900216 0632,03,1
797,SPI-01900216 0636,00,1
798,SPI-01900216 0637,00,1
799,SPI-01900216 0637,00,50
800,SPI-01900216 0639,00,1
801,SPI-01900216 0642,01,1
802,SPI-01900216 0642,01,2
803,SPI-01900216 0643,00,1
804,SPI-01900216 0645,01,1
805,SPI-01900216 0646,00,1
806,SPI-01900216 0648,00,1
807,SPI-01900216 0649,00,1
808,SPI-01900216 0650,00,1
809,SPI-01900216 0652,00,1
810,SPI-01900216 0653,00,1
811,SPI-01900216 0654,00,1
812,SPI-01900216 0655,00,1
813,SPI-01900216 0658,00,1
814,SPI-01900216 0659,01,1
815,SPI-01900216 0659,01,2
816,SPI-01900216 0659,02,50
817,SPI-01900216 0659,02,51
818,SPI-01900216 0661,00,1
819,SPI-01900216 0672,00,1
820,SPI-01900216 0691,01,2
821,SPI-01900216 0775,00,1
822,SPI-01900216 0806,00,3
823,SPI-01900216 0806,00,4
824,SPI-01900216 0869,01,50
825,SPI-01900216 0869,03,51
826,SPI-01900216 0869,03,52
827,SPI-01900216 0872,00,50
828,SPI-01900264 0035-UNF,02,1
829,SPI-01900264 0036-UNF,02,1
830,SPI-01900264 0037-UNF,00,1
831,SPI-01900264 0039,01,50
832,SPI-01900416 0059,05,1
833,SPI-01900416 0120,00,2
834,SPI-01900416 0120,00,50
835,SPI-01900416 0120,00,51
836,SPI-01900485 0045GRAY,04,2
837,SPI-01900485 0045GRAY,04,3
838,SPI-01900485 0045,04,2
839,SPI-01900485 0045,04,3
840,SPI-01900485 0050-UNF,03,1
841,SPI-01900485 0056GT,04,1
842,SPI-01900485 0056OT,04,1
843,SPI-01900485 0056WM,04,1
844,SPI-01900485 0056,04,1
845,SPI-01900702 0156,02,3
846,SPI-01900702 0157,02,1
847,SPI-01900702 0157,02,3
848,SPI-01900702 0157,02,4
849,SPI-01900702 0157,2_,2
850,SPI-01900702 0158,02,2
851,SPI-01900702 0159,02,3
852,SPI-01900702 0160,02,3
853,SPI-01900702 0161,02,1
854,SPI-01900702 0161,02,2
855,SPI-01900702 0162,02,2
856,SPI-01900702 0163,02,1
857,SPI-01900702 0164,02,1
858,SPI-01900702 0165,02,1
859,SPI-01900702 0166,02,1
860,SPI-01900702 0167,01,5
861,SPI-01900702 0167,01,6
862,SPI-01900702 0167,01,7
863,SPI-01900702 0167,01,8
864,SPI-01900702 0168,01,1
865,SPI-01900702 0168,01,2
866,SPI-01900702 0168,01,3
867,SPI-01900702 0168,01,6
868,SPI-01900702 0168,01,7
869,SPI-01900702 0168,01,8
870,SPI-01900702 0168,01,9
871,SPI-01900702 0168,01,10
872,SPI-01900702 0168,01,11
873,SPI-01900702 0168,01,12
874,SPI-01900702 0168,01,13
875,SPI-01900702 0169,01,1
876,SPI-01900702 0169,01,2
877,SPI-01900702 0169,01,3
878,SPI-01900702 0169,01,4
879,SPI-01900702 0169,01,5
880,SPI-01900702 0169,01,6
881,SPI-01900702 0169,01,7
882,SPI-01900702 0169,01,8
883,SPI-01900702 0170,03,1
884,SPI-01900702 0177,01,1
885,SPI-01900702 0177,01,50
886,SPI-01900702 0178LCSS,01,1
887,SPI-01900702 0181LCSS,01,1
888,SPI-01900702 0181LCSS,01,50
889,SPI-01900702 0182GRAY,01,2
890,SPI-01900702 0182,01,1
891,SPI-01900702 0182,02,50
892,SPI-01900702 0184,01,1
893,SPI-01900702 0184,01,50
894,SPI-01900702 0185,01,1
895,SPI-01900702 0214,00,1
896,SPI-01900702 0229,00,51
897,SPI-01900702 0231,00,50
898,SPI-01900702 0232,01,50
899,SPI-01900702 0233,00,50
900,SPI-01900912 0008,03,1
901,SPI-01901000 0552,12,1
902,SPI-01901000 0553,10,1
903,SPI-01901000 0706,0C,1
904,SPI-01901000 0706,0C,2
905,SPI-01901000 0718,04,1
906,SPI-01901000 0718,04,50
907,SPI-01901000 0718,04,51
908,SPI-01901000 0718,04,52
909,SPI-01901000 0718,04,53
910,SPI-01901000 0719,04,1
911,SPI-01901000 0820-UNF,03,1
912,SPI-01901000 0820-UP,03,1
913,SPI-01901000 0821-UNF,01,1
914,SPI-01901000 0821-UP,01,1
915,SPI-01901000 0822-UNF,06,1
916,SPI-01901000 0823-UNF,05,1
917,SPI-01901000 0834,01,1
918,SPI-01901000 0840GRAY,03,2
919,SPI-01901000 0840GT,03,1
920,SPI-01901000 0840OT,03,2
921,SPI-01901000 0840WM,03,2
922,SPI-01901000 0841GT,05,52
923,SPI-01901000 0841GT,06,54
924,SPI-01901000 0841OT,05,1
925,SPI-01901000 0841OT,06,3
926,SPI-01901000 0841WM,05,50
927,SPI-01901000 0841WM,06,52
928,SPI-01901000 0841,05,50
929,SPI-01901000 0841,05,51
930,SPI-01901000 0842GRAY,03,1
931,SPI-01901000 0843GRAY,03,1
932,SPI-01901000 0843GRAY,03,2
933,SPI-01901000 0845GT,06,50
934,SPI-01901000 0845OT,06,1
935,SPI-01901000 0845WM,06,50
936,SPI-01901000 0846GRAY,05,1
937,SPI-01901000 0846GRAY,05,2
938,SPI-01901000 0846,05,1
939,SPI-01901000 0846,05,2
940,SPI-01901000 0848GRAY,03,1
941,SPI-01901000 0848GRAY,03,2
942,SPI-01901000 0849GRAY,02,1
943,SPI-01901000 0849GRAY,02,2
944,SPI-01901000 0850GRAY,02,2
945,SPI-01901000 0850GRAY,02,3
946,SPI-01901000 0855GT,04,50
947,SPI-01901000 0855OT,04,1
948,SPI-01901000 0855WM,04,50
949,SPI-01901000 0855,02,1
950,SPI-01901000 0860GT,02,1
951,SPI-01901000 0860OT,02,1
952,SPI-01901000 0860WM,02,1
953,SPI-01901000 0862GRAY,02,1
954,SPI-01901000 0912,02,1
955,SPI-01901000 0918GT,03,2
956,SPI-01901000 0918RED,03,1
957,SPI-01901000 0918WM,03,2
958,SPI-01901000 0918,03,2
959,SPI-01901000 0919GT,03,2
960,SPI-01901000 0919GT,03,3
961,SPI-01901000 0919RED,03,1
962,SPI-01901000 0919RED,03,2
963,SPI-01901000 0919WM,03,2
964,SPI-01901000 0919WM,03,3
965,SPI-01901000 0919,03,2
966,SPI-01901000 0919,03,3
967,SPI-01901000 0920GT,03,2
968,SPI-01901000 0920GT,03,3
969,SPI-01901000 0920RED,03,1
970,SPI-01901000 0920RED,03,2
971,SPI-01901000 0920WM,03,2
972,SPI-01901000 0920WM,03,3
973,SPI-01901000 0920,03,3
974,SPI-01901000 0920,03,4
975,SPI-01901000 0921GT,03,2
976,SPI-01901000 0921GT,03,3
977,SPI-01901000 0921RED,03,1
978,SPI-01901000 0921RED,03,2
979,SPI-01901000 0921WM,03,2
980,SPI-01901000 0921WM,03,3
981,SPI-01901000 0921,03,2
982,SPI-01901000 0921,03,3
983,SPI-01901000 0922GT,02,1
984,SPI-01901000 0922GT,04,3
985,SPI-01901000 0922GT,04,4
986,SPI-01901000 0922RED,04,1
987,SPI-01901000 0922RED,04,2
988,SPI-01901000 0922WM,02,1
989,SPI-01901000 0922WM,04,3
990,SPI-01901000 0922WM,04,4
991,SPI-01901000 0922,02,1
992,SPI-01901000 0922,04,3
993,SPI-01901000 0922,04,4
994,SPI-01901000 0923CUSTOM,00,50
995,SPI-01901000 0923GT,03,2
996,SPI-01901000 0923GT,03,3
997,SPI-01901000 0923RED,03,1
998,SPI-01901000 0923RED,03,2
999,SPI-01901000 0923WM,03,2
1000,SPI-01901000 0923WM,03,3
1001,SPI-01901000 0923,03,2
1002,SPI-01901000 0923,03,3
1003,SPI-01901000 0924CUSTOM,00,50
1004,SPI-01901000 0924GT,03,2
1005,SPI-01901000 0924GT,03,3
1006,SPI-01901000 0924GT,03,4
1007,SPI-01901000 0924GT,03,5
1008,SPI-01901000 0924RED,03,1
1009,SPI-01901000 0924RED,03,2
1010,SPI-01901000 0924RED,03,3
1011,SPI-01901000 0924RED,03,4
1012,SPI-01901000 0924WM,03,2
1013,SPI-01901000 0924WM,03,3
1014,SPI-01901000 0924WM,03,4
1015,SPI-01901000 0924WM,03,5
1016,SPI-01901000 0924,03,2
1017,SPI-01901000 0924,03,3
1018,SPI-01901000 0924,03,4
1019,SPI-01901000 0924,03,5
1020,SPI-01901000 0925GT,03,3
1021,SPI-01901000 0925GT,03,4
1022,SPI-01901000 0925RED,03,1
1023,SPI-01901000 0925RED,03,2
1024,SPI-01901000 0925WM,03,3
1025,SPI-01901000 0925WM,03,4
1026,SPI-01901000 0925,03,3
1027,SPI-01901000 0925,03,4
1028,SPI-01901000 0931GRAY,03,1
1029,SPI-01901000 0931GRAY,03,2
1030,SPI-01901000 0931,03,1
1031,SPI-01901000 0931,03,2
1032,SPI-01901000 0932GRAY,03,1
1033,SPI-01901000 0933GRAY,03,2
1034,SPI-01901000 0933,03,1
1035,SPI-01901000 0934GRAY,03,2
1036,SPI-01901000 0934,03,2
1037,SPI-01901000 0935GRAY,04,1
1038,SPI-01901000 0935,04,1
1039,SPI-01901000 0936GRAY,02,3
1040,SPI-01901000 0936,02,1
1041,SPI-01901000 0937GT,03,2
1042,SPI-01901000 0937GT,03,3
1043,SPI-01901000 0937RED,03,1
1044,SPI-01901000 0937RED,03,2
1045,SPI-01901000 0937WM,03,2
1046,SPI-01901000 0937WM,03,3
1047,SPI-01901000 0937,03,2
1048,SPI-01901000 0937,03,3
1049,SPI-01901000 0938GT,06,2
1050,SPI-01901000 0938GT,06,3
1051,SPI-01901000 0938RED,06,1
1052,SPI-01901000 0938RED,06,2
1053,SPI-01901000 0938WM,06,2
1054,SPI-01901000 0938WM,06,3
1055,SPI-01901000 0938,06,2
1056,SPI-01901000 0938,06,3
1057,SPI-01901000 0939GT,06,1
1058,SPI-01901000 0939GT,06,2
1059,SPI-01901000 0939RED,06,1
1060,SPI-01901000 0939RED,06,2
1061,SPI-01901000 0939WM,06,1
1062,SPI-01901000 0939WM,06,2
1063,SPI-01901000 0939,06,2
1064,SPI-01901000 0939,06,3
1065,SPI-01901000 0940GRAY,05,2
1066,SPI-01901000 0940GRAY,05,3
1067,SPI-01901000 0940GT,05,2
1068,SPI-01901000 0940GT,05,3
1069,SPI-01901000 0940RED,05,1
1070,SPI-01901000 0940RED,05,2
1071,SPI-01901000 0940WM,05,2
1072,SPI-01901000 0940WM,05,3
1073,SPI-01901000 0940,05,2
1074,SPI-01901000 0940,05,3
1075,SPI-01901000 0941GRAY,05,2
1076,SPI-01901000 0941GRAY,05,3
1077,SPI-01901000 0941RED,05,1
1078,SPI-01901000 0941RED,05,2
1079,SPI-01901000 0941WM,05,2
1080,SPI-01901000 0941WM,05,3
1081,SPI-01901000 0941,05,2
1082,SPI-01901000 0941,05,3
1083,SPI-01901000 0942GRAY,04,1
1084,SPI-01901000 0942GRAY,05,50
1085,SPI-01901000 0942,04,1
1086,SPI-01901000 0943GRAY,03,2
1087,SPI-01901000 0943GRAY,04,50
1088,SPI-01901000 0943,03,2
1089,SPI-01901000 0943,04,50
1090,SPI-01901000 0944GT,04,2
1091,SPI-01901000 0944GT,04,3
1092,SPI-01901000 0944RED,04,1
1093,SPI-01901000 0944RED,04,2
1094,SPI-01901000 0944WM,04,2
1095,SPI-01901000 0944WM,04,3
1096,SPI-01901000 0944,04,2
1097,SPI-01901000 0944,04,3
1098,SPI-01901000 0945GT,04,2
1099,SPI-01901000 0945GT,04,3
1100,SPI-01901000 0945RED,04,1
1101,SPI-01901000 0945RED,04,2
1102,SPI-01901000 0945WM,04,2
1103,SPI-01901000 0945WM,04,3
1104,SPI-01901000 0945,04,2
1105,SPI-01901000 0945,04,3
1106,SPI-01901000 0946,03,1
1107,SPI-01901000 0947,03,2
1108,SPI-01901000 0948,01,1
1109,SPI-01901000 0950-UP,02,6
1110,SPI-01901000 0950-UP,02,7
1111,SPI-01901000 0950-UP,02,8
1112,SPI-01901000 0950-UP,02,9
1113,SPI-01901000 0958-UP,02,8
1114,SPI-01901000 0958-UP,02,9
1115,SPI-01901000 0958-UP,02,10
1116,SPI-01901000 0958-UP,02,11
1117,SPI-01901000 0959-UP,01,1
1118,SPI-01901000 0959-UP,01,2
1119,SPI-01901000 0959-UP,01,3
1120,SPI-01901000 0959-UP,01,4
1121,SPI-01901000 0963-UP,02,14
1122,SPI-01901000 0963-UP,02,15
1123,SPI-01901000 0963-UP,02,16
1124,SPI-01901000 0963-UP,02,17
1125,SPI-01901000 0963-UP,02,18
1126,SPI-01901000 0963-UP,02,19
1127,SPI-01901000 0963-UP,02,20
1128,SPI-01901000 0963-UP,02,21
1129,SPI-01901000 0963-UP,02,22
1130,SPI-01901000 0963-UP,02,23
1131,SPI-01901000 0963-UP,02,24
1132,SPI-01901000 0963-UP,02,25
1133,SPI-01901000 0963-UP,02,26
1134,SPI-01901000 0963-UP,02,27
1135,SPI-01901000 0965-UP,02,10
1136,SPI-01901000 0965-UP,02,11
1137,SPI-01901000 0965-UP,02,12
1138,SPI-01901000 0965-UP,02,13
1139,SPI-01901000 0965-UP,02,14
1140,SPI-01901000 0965-UP,02,15
1141,SPI-01901000 0965-UP,02,16
1142,SPI-01901000 0965-UP,02,17
1143,SPI-01901000 0965-UP,02,18
1144,SPI-01901000 0965-UP,02,19
1145,SPI-01901000 0968-UP,03,12
1146,SPI-01901000 0968-UP,03,13
1147,SPI-01901000 0968-UP,03,14
1148,SPI-01901000 0968-UP,03,15
1149,SPI-01901000 0968-UP,03,16
1150,SPI-01901000 0968-UP,03,17
1151,SPI-01901000 0968-UP,03,18
1152,SPI-01901000 0968-UP,03,19
1153,SPI-01901000 0968-UP,03,20
1154,SPI-01901000 0968-UP,03,21
1155,SPI-01901000 0968-UP,03,22
1156,SPI-01901000 0968-UP,03,23
1157,SPI-01901000 0968-UP,03,24
1158,SPI-01901000 0968-UP,03,25
1159,SPI-01901000 0969-UP,02,1
1160,SPI-01901000 0969-UP,02,2
1161,SPI-01901000 0969-UP,02,3
1162,SPI-01901000 0969-UP,02,4
1163,SPI-01901000 0971GT,02,3
1164,SPI-01901000 0971GT,02,4
1165,SPI-01901000 0971RED,02,2
1166,SPI-01901000 0971RED,02,3
1167,SPI-01901000 0971WM,02,3
1168,SPI-01901000 0971WM,02,4
1169,SPI-01901000 0971,02,3
1170,SPI-01901000 0971,02,4
1171,SPI-01901000 0972GT,01,1
1172,SPI-01901000 0972WM,01,1
1173,SPI-01901000 0972,01,1
1174,SPI-01901000 0974,02,1
1175,SPI-01901000 0975GRAY,02,2
1176,SPI-01901000 0975GRAY,02,3
1177,SPI-01901000 0975,02,1
1178,SPI-01901000 0975,02,2
1179,SPI-01901000 0976GRAY,05,1
1180,SPI-01901000 0976GRAY,05,2
1181,SPI-01901000 0976,05,1
1182,SPI-01901000 0976,05,2
1183,SPI-01901000 0984,03,1
1184,SPI-01901000 0985CUSTOM,02,50
1185,SPI-01901000 0985GT,01,1
1186,SPI-01901000 0985GT,02,3
1187,SPI-01901000 0985GT,02,4
1188,SPI-01901000 0985RED,02,1
1189,SPI-01901000 0985RED,02,2
1190,SPI-01901000 0985WM,01,1
1191,SPI-01901000 0985WM,02,3
1192,SPI-01901000 0985WM,02,4
1193,SPI-01901000 0985,01,1
1194,SPI-01901000 0985,02,3
1195,SPI-01901000 0986RED,02,1
1196,SPI-01901000 0986RED,02,2
1197,SPI-01901000 0986WM,02,1
1198,SPI-01901000 0986WM,02,2
1199,SPI-01901000 0986,02,2
1200,SPI-01901000 0986,02,3
1201,SPI-01901000 0989,01,1
1202,SPI-01901000 0996,01,1
1203,SPI-01901000 0997,00,1
1204,SPI-01901000 0998GT,01,2
1205,SPI-01901000 0998GT,01,3
1206,SPI-01901000 0998RED,01,1
1207,SPI-01901000 0998RED,01,2
1208,SPI-01901000 0998WM,01,2
1209,SPI-01901000 0998WM,01,3
1210,SPI-01901000 0998,01,2
1211,SPI-01901000 0998,01,3
1212,SPI-01901000 0999GT,01,2
1213,SPI-01901000 0999GT,01,3
1214,SPI-01901000 0999RED,01,1
1215,SPI-01901000 0999RED,01,2
1216,SPI-01901000 0999WM,01,2
1217,SPI-01901000 0999WM,01,3
1218,SPI-01901000 0999,01,2
1219,SPI-01901000 0999,01,3
1220,SPI-01901000 1003,00,1
1221,SPI-01901000 1004,00,1
1222,SPI-01901000 1005,00,1
1223,SPI-01901000 1006,00,1
1224,SPI-01901000 1007,00,1
1225,SPI-01901000 1007,00,2
1226,SPI-01901000 1007,00,3
1227,SPI-01901000 1008,00,1
1228,SPI-01901000 1009GRAY,00,1
1229,SPI-01901000 1010GRAY,00,1
1230,SPI-01901000 1011GRAY,00,1
1231,SPI-01901000 1012GRAY,00,1
1232,SPI-01901000 1013GRAY,00,1
1233,SPI-01901000 1014GRAY,01,1
1234,SPI-01901000 1015GRAY,00,2
1235,SPI-01901000 1016GRAY,00,1
1236,SPI-01901000 1017,00,1
1237,SPI-01901000 1018,00,1
1238,SPI-01901000 1019,00,1
1239,SPI-01901000 1020,00,1
1240,SPI-01901000 1021,00,1
1241,SPI-01901000 1022,00,1
1242,SPI-01901000 1023,00,2
1243,SPI-01901000 1026GRAY,01,1
1244,SPI-01901000 1026,01,1
1245,SPI-01901000 1161GT,01,50
1246,SPI-01901000 1161GT,01,51
1247,SPI-01901000 1161RED,01,50
1248,SPI-01901000 1161RED,01,51
1249,SPI-01901000 1161WM-R,00,50
1250,SPI-01901000 1161WM-R,00,51
1251,SPI-01901000 1161WM-R,00,52
1252,SPI-01901000 1161WM,01,50
1253,SPI-01901000 1161WM,01,51
1254,SPI-01901000 1161,01,50
1255,SPI-01901000 1161,01,51
1256,SPI-01901000 1168,00,1
1257,SPI-01901000 1183,00,1
1258,SPI-01901000 1183,01,2
1259,SPI-01901000 1184,00,1
1260,SPI-01901000 1185OT,01,2
1261,SPI-01901000 1188OT,01,1
1262,SPI-01901000 1217GT,00,50
1263,SPI-01901000 1217WM,00,50
1264,SPI-01901000 1217,00,1
1265,SPI-01901000 1228WM,00,50
1266,SPI-01901000 1228WM,01,51
1267,SPI-01901000 1229WM,00,50
1268,SPI-01901000 1229WM,00,51
1269,SPI-01901000 1229WM,00,52
1270,SPI-01901000 1229WM,02,53
1271,SPI-01901000 1229WM,02,54
1272,SPI-01901000 1241,00,51
1273,SPI-01901112 0568-R,04,50
1274,SPI-01901112 0568,03,1
1275,SPI-01901112 0568,04,50
1276,SPI-01901378 0053 KMI DES,00,1
1277,SPI-01901378 0054,00,1
1278,SPI-01901378 0055,00,1
1279,SPI-01901378 0061,00,1
1280,SPI-01901520 0377-UNF,01,1
1281,SPI-01901520 0378-1-UNF,03,1
1282,SPI-01901520 0378-2-UNF,03,1
1283,SPI-01901520 0425,00,1
1284,SPI-01901520 0430-UNF,00,1
1285,SPI-01901520 0431-UNF,00,1
1286,SPI-03000-017-PTB,03,1
1287,SPI-03000-017,03,1
1288,SPI-03337-012-PTB,17,1
1289,SPI-03337-012-PTB,17,50
1290,SPI-03337-012-SUN,17,1
1291,SPI-03337-012-SUN,17,50
1292,SPI-03337-012,17,1
1293,SPI-03337-012,17,50
1294,SPI-03337-013-PTB,06,1
1295,SPI-03337-013-SUN,06,1
1296,SPI-03337-013,06,2
1297,SPI-03337-014,04,1
1298,SPI-03903009 0075,03,1
1299,SPI-03903040 0177GRAY,02,1
1300,SPI-03903040 0177,02,2
1301,SPI-03903040 0178GRAY,02,4
1302,SPI-03903040 0178,02,3
1303,SPI-03903040 0180GT,02,1
1304,SPI-03903040 0180GT,02,2
1305,SPI-03903040 0180OT,02,2
1306,SPI-03903040 0180OT,02,3
1307,SPI-03903040 0180WM,02,1
1308,SPI-03903040 0180WM,02,2
1309,SPI-03903040 0180,02,2
1310,SPI-03903040 0180,02,3
1311,SPI-03903040 0181GRAY,03,2
1312,SPI-03903040 0181,03,2
1313,SPI-03903040 0182GRAY,02,3
1314,SPI-03903040 0182,02,3
1315,SPI-03903040 0183GRAY,02,2
1316,SPI-03903040 0183GRAY,02,3
1317,SPI-03903040 0183,02,2
1318,SPI-03903040 0183,02,3
1319,SPI-03903040 0184GRAY,02,2
1320,SPI-03903040 0184GRAY,02,3
1321,SPI-03903040 0185GRAY,02,1
1322,SPI-03903087 0023,01,1
1323,SPI-03903128 0093-1-UNF,10,1
1324,SPI-03903128 0093-234-UNF,10,1
1325,SPI-03903128 0093-5-UNF,10,1
1326,SPI-03903128 0093-6-UNF,10,1
1327,SPI-03903128 0093-7-UNF,10,1
1328,SPI-03903128 0093-8-UNF,10,1
1329,SPI-03903128 0093-8-UNF,10,2
1330,SPI-03903128 0093-9-UNF,10,1
1331,SPI-03903128 0093-UP,10,1
1332,SPI-03903168 0118-1-UNF,04,1
1333,SPI-03903168 0118-2-UNF,04,1
1334,SPI-03903168 0118-UP,04,1
1335,SPI-03903200 0034,04,1
1336,SPI-03903297 0024-KIT,02,8
